Index,Date,Open,High,Low,Close,Adj Close,Volume
KS11,11-04-1997,688.390015,693.940002,682.469971,693.940002,693.940002,44200
KS11,14-04-1997,698.440002,705.820007,698.440002,704.200012,704.200012,43300
KS11,15-04-1997,706.049988,710.669983,701.390015,701.390015,701.390015,46700
KS11,16-04-1997,701.429993,703.039978,697.75,702.419983,702.419983,39100
KS11,17-04-1997,702.97998,703.440002,690.659973,694.76001,694.76001,42900
KS11,18-04-1997,695.210022,698.52002,692.570007,695.669983,695.669983,38700
KS11,21-04-1997,702.159973,706.950012,697.299988,697.340027,697.340027,40300
KS11,22-04-1997,696.280029,696.369995,685.960022,687.960022,687.960022,31400
KS11,23-04-1997,688.169983,695.23999,688,693.049988,693.049988,35100
KS11,24-04-1997,694.039978,697.429993,689.289978,690.799988,690.799988,44000
KS11,25-04-1997,691.570007,693.969971,687.409973,692.47998,692.47998,41600
KS11,28-04-1997,703.130005,707.419983,703.130005,704.159973,704.159973,41700
KS11,29-04-1997,705.130005,705.679993,701.090027,704.049988,704.049988,38100
KS11,30-04-1997,705,706.539978,701.890015,703.22998,703.22998,43700
KS11,02-05-1997,704.77002,709.599976,699.179993,706.099976,706.099976,65400
KS11,06-05-1997,706.530029,706.919983,700.320007,701.570007,701.570007,44500
KS11,07-05-1997,700.869995,700.869995,689.090027,689.099976,689.099976,42000
KS11,08-05-1997,688.890015,690.440002,682.72998,684.690002,684.690002,39800
KS11,09-05-1997,685.909973,693.200012,685.909973,687.619995,687.619995,44700
KS11,12-05-1997,678.5,683.320007,667.659973,672.099976,672.099976,36800
KS11,13-05-1997,673.080017,684.609985,669.01001,683.859985,683.859985,36000
KS11,15-05-1997,684.73999,705.099976,684.73999,699.950012,699.950012,51200
KS11,16-05-1997,702.51001,709.570007,695.929993,699.530029,699.530029,50100
KS11,19-05-1997,710.409973,721.22998,710.409973,721.200012,721.200012,56900
KS11,20-05-1997,723.159973,734.76001,722.349976,734.669983,734.669983,62800
KS11,21-05-1997,735.299988,739.72998,729.320007,737.710022,737.710022,64200
KS11,22-05-1997,737.179993,738.179993,723.539978,724.380005,724.380005,60000
KS11,23-05-1997,723.669983,730.539978,715.530029,730.530029,730.530029,53900
KS11,26-05-1997,724.710022,725.51001,717.349976,718.98999,718.98999,39300
KS11,27-05-1997,719.820007,724.390015,716.51001,723.349976,723.349976,39800
KS11,28-05-1997,724.969971,738.119995,724.969971,738.119995,738.119995,56100
KS11,29-05-1997,745.26001,749.369995,741.849976,742.5,742.5,65100
KS11,30-05-1997,742.380005,752.289978,741,746.359985,746.359985,55200
KS11,02-06-1997,758.919983,770.969971,756.880005,758.390015,758.390015,84900
KS11,03-06-1997,758.890015,766.48999,753.359985,766.059998,766.059998,60600
KS11,04-06-1997,766.539978,774.47998,755.01001,763.25,763.25,87900
KS11,05-06-1997,762.919983,766.77002,761.669983,765.669983,765.669983,51300
KS11,09-06-1997,764.909973,775.02002,762.419983,775.01001,775.01001,57000
KS11,10-06-1997,777.880005,781.51001,769.109985,769.830017,769.830017,67100
KS11,11-06-1997,769.700012,770.580017,764.940002,765.789978,765.789978,46200
KS11,12-06-1997,767.940002,777.880005,767.940002,774.659973,774.659973,59700
KS11,13-06-1997,775.669983,789.400024,775.669983,789.150024,789.150024,83700
KS11,16-06-1997,793.570007,796.809998,786.159973,789.049988,789.049988,58700
KS11,17-06-1997,790.98999,798.76001,783.320007,792.289978,792.289978,60000
KS11,18-06-1997,793.02002,799.539978,768.039978,773.210022,773.210022,54300
KS11,19-06-1997,769.690002,779.169983,763.179993,770.950012,770.950012,48700
KS11,20-06-1997,772.599976,775.609985,766.25,770.219971,770.219971,42200
KS11,23-06-1997,759.330017,762.440002,751.849976,753.049988,753.049988,31700
KS11,24-06-1997,751.630005,753.969971,747.289978,753.700012,753.700012,34500
KS11,25-06-1997,753.719971,753.849976,742.52002,744.98999,744.98999,37300
KS11,26-06-1997,746.070007,751.98999,741.719971,744.340027,744.340027,44400
